solution_id,method,total_budget,gdp_gain,inequality,emission,net_cyber_risk,NMM_I,NMM_D,NMM_AI,NMM_H,RRD_I,RRD_D,RRD_AI,RRD_H,NCC_I,NCC_D,NCC_AI,NCC_H,CH_I,CH_D,CH_AI,CH_H,SE_I,SE_D,SE_AI,SE_H,MD_I,MD_D,MD_AI,MD_H
random_2846,random,49873.29169865721,48309.079415971704,1702.6332300149616,5010.363879255138,-2628.399657730508,23.13257450197161,8999.590000000004,12.949939651245245,190.64783156093105,440.57058388340636,0.0,1240.4633885503856,7137.214683001197,484.53136145874504,499.59000000000486,383.93352410172326,3957.812146947449,0.10833166146843586,11999.590000000004,0.05904898524592723,0.2191575776295313,375.20384024785983,0.0,3577.362828767807,3877.5411125662686,608.1678616649365,3999.5900000000047,904.6436512511051,1160.3698322778134
random_387,random,49535.321632530984,48253.252870536686,1645.3785780908331,6149.770200612019,-1706.9873251883928,0.1111094986101523,8999.590000000004,8.078842841315572,118.68529003852782,230.5579829341287,0.0,925.5148844437615,6313.114870920936,1327.7083661961992,499.59000000000486,691.6559560219848,4522.690310298183,0.012988624045576349,11999.590000000004,0.09784800435204433,0.23762802115500423,1583.9128753634945,0.0,4615.5179317383945,2377.962036408092,61.33822754379657,3999.5900000000047,593.2106258210174,666.5538578129782
random_1123,random,49671.34206994728,47800.95684981796,3184.273397695746,4066.5563486415494,-3380.5507017171494,94.60850501603464,8999.590000000004,272.8526986498599,1571.0790954389522,439.63869952878184,0.0,2405.7754035421353,2155.2823932840356,489.59726381259816,499.59000000000486,301.557731207845,10159.930941885254,0.023698354009342455,11999.590000000004,0.030123754401908096,0.04116994190590918,1003.7804737886848,0.0,614.1350861364225,3418.789087460582,272.563052840252,3999.5900000000047,529.449997849909,443.84664745559115
random_4539,random,49336.14063414888,47782.96201882996,1656.740486125189,4521.061204005772,-3092.7873390172954,13.279239415516109,8999.590000000004,27.92000718926531,57.933861239394844,2183.2546163786556,0.0,1065.5664808222712,3626.6588664067312,225.22200775130722,499.59000000000486,335.4632558822683,5239.4897824666195,0.1020305364328212,11999.590000000004,0.03147641068610969,0.2737569614799758,121.27575226413715,0.0,2525.8981427664044,3875.429953960475,305.8570563794859,3999.5900000000047,494.71107558973864,3739.4132717279954
random_3360,random,49902.198925402496,47779.32742590937,2221.9178548813456,4100.214667223821,-3656.7298244202248,60.28219867628208,8999.590000000004,311.9110613392661,1928.138751997933,1700.1402310884666,0.0,1244.5381063561222,4167.188205817091,410.4201572432374,499.59000000000486,1116.2668178796412,4790.158044997099,0.08436378595545645,11999.590000000004,0.007595841047286508,0.21590147104374435,590.1589114376525,0.0,860.711319133631,3768.8656479951583,94.51140211555142,3999.5900000000047,86.6476628459019,3273.592545381399
random_4839,random,49966.51496570641,47777.58612657615,1491.5391711623076,6564.179409499484,-1882.648216917853,50.62570506963229,8999.590000000004,42.32520995518101,37.76779795390837,61.28055882985265,0.0,80.25990040362792,8120.17328669861,1765.8445378684005,499.59000000000486,895.2419299636192,2375.4734147143017,0.009827640310969889,11999.590000000004,0.07274575147883848,0.14121568520768274,2303.156055261885,0.0,4057.2983042431756,1737.5010664644403,188.51113523486526,3999.5900000000047,1112.6787677259297,1639.7935062419701
random_4728,random,49761.14650360572,47754.09858068084,1505.3642361546715,6409.577936290094,-2184.6955316527274,28.200595732579398,8999.590000000004,48.3664534820818,27.02132035628235,2545.6613197678626,0.0,32.443403324894,4880.914509185377,1746.4173635947504,499.59000000000486,771.4620097942077,5251.404611133953,0.047110375444021094,11999.590000000004,0.0289791171792581,0.2970839356813743,265.85479723382673,0.0,3839.0562141588357,3101.1606625021327,311.61641886575416,3999.5900000000047,635.4678985935986,777.3657524512694
random_3086,random,49882.14306196148,47671.95235165466,2455.3671052359628,4389.840460615705,-3675.2723708717667,78.29474626007737,8999.590000000004,142.42656410064228,296.5787714498451,290.88582351861396,0.0,158.9602377902569,4598.489840179449,39.434999179102796,499.59000000000486,89.2373683936371,6863.253330761077,0.012382528402874534,11999.590000000004,0.02147049437187973,0.047731748621837995,3492.430083828613,0.0,2914.421790558659,4383.759305719387,101.3829620745569,3999.5900000000047,110.78683320064539,823.3588201754999
random_1420,random,49370.753866290775,47598.33777382156,1944.5547236659966,4362.70647076049,-3194.7754470679497,12.530726985703465,8999.590000000004,119.26756819019789,198.20764766853515,455.3392765310664,0.0,1536.8448053164498,5823.218270918695,189.71172870242086,499.59000000000486,334.5340927845087,4477.822305720642,0.006262376520307955,11999.590000000004,0.17125524491652308,0.12156160371074852,1698.8847509889715,0.0,1722.285215826905,2113.4823153577345,441.5058934500144,3999.5900000000047,546.7131985204713,4201.746990103294
random_279,random,48798.0450924607,47588.147250068876,2299.1790552630623,3978.4377493883007,-3154.551533178864,30.68600850690584,8999.590000000004,11.096509933348964,119.39974671838783,1683.921885355798,0.0,848.9836854730112,2596.9273719140724,288.50440807130747,499.59000000000486,629.4308674763465,4720.659538208494,0.13488076442701635,11999.590000000004,0.07018477926599088,0.09218672953768982,137.22766922431478,0.0,2500.2373174925992,3596.0026372252173,27.67502560270277,3999.5900000000047,292.13533354752576,5816.499835437426
random_2159,random,49842.08314582444,47587.33700220063,1682.6242523272003,4944.648806954026,-3169.1788053546766,11.297102312559879,8999.590000000004,221.10728178737003,430.1053523903568,779.8953138857762,0.0,2068.8071067109345,2527.3509043097047,583.0005645140199,499.59000000000486,141.68922501553726,6418.60667139382,0.007424579384912691,11999.590000000004,0.05573528805683749,0.14757589867895593,1713.3805693493573,0.0,1135.0265154209876,5153.120992394687,672.6227611421891,3999.5900000000047,564.8168372701145,1922.685212160891
random_4608,random,49014.667398881706,47560.28679893666,1964.1727488176537,4118.3042702947905,-3360.361968103328,129.71345652432427,8999.590000000004,43.09941831500608,993.5086454951268,229.52415547144284,0.0,337.79905030838825,7532.772067732055,734.8048200378805,499.59000000000486,230.50232442398362,3560.220656997243,0.0001583478618780836,11999.590000000004,0.00013283558896443764,0.23994237462464543,850.415817509841,0.0,3694.335471724607,3689.3589027668263,369.23256844429505,3999.5900000000047,130.44425971833238,990.3355498542605
random_2278,random,49681.962480312155,47440.86601252534,1492.775209149304,6308.998952422786,-2280.5495528970155,1.2368679413066703,8999.590000000004,2.1572706406171207,36.300039466335555,5282.657779736825,0.0,853.5219986518638,1232.771390914195,38.20641625287743,499.59000000000486,1150.5807925494655,5101.094935468523,0.025862782175773417,11999.590000000004,0.05002289218444232,0.029723829336325933,10.826382431911806,0.0,2671.8467296059844,5320.343184347358,42.896181610286725,3999.5900000000047,153.87355017434118,2285.1833510165534
random_1599,random,48759.611093154985,47418.873963611004,2672.1717624351404,3790.159242850888,-3259.9181474879374,471.3990267679716,8999.590000000004,70.40559653836233,877.3404241881348,785.962516077424,0.0,1971.6873941382016,2783.2644590593222,23.271337496495253,499.59000000000486,48.28094487589964,9406.779983479317,0.04452646310514942,11999.590000000004,0.007891643627994098,0.021102429986881607,448.27428303440615,0.0,1754.3604484211912,3102.356222955159,113.01470301158577,3999.5900000000047,407.11727892543354,997.6629536493427
random_1129,random,49381.57096067116,47321.60152601292,2171.8221400201705,4448.310342652906,-3529.420315627349,62.04898766228374,8999.590000000004,66.5691106037192,996.508775818125,3161.3044783002833,0.0,379.86737399733164,1977.9654379510368,60.60675177197691,499.59000000000486,414.9837537283448,6456.595651974525,0.00013454799879392782,11999.590000000004,0.05723410784576515,0.1489407288018153,589.9365650304337,0.0,2533.381358538065,5958.420793358811,34.32181289545343,3999.5900000000047,1.6897249836259978,1188.804074672484
random_1755,random,48725.68944167848,47312.23786442098,2317.6707434091495,3039.846173003885,-3796.6288531149776,161.82433662475833,8999.590000000004,268.3864218344942,799.3700575083001,110.50871323710706,0.0,1168.2341737442016,4722.830158922948,262.6080999281218,499.59000000000486,496.1842908829089,4417.512825842447,0.007291019679080846,11999.590000000004,0.11152711259429603,0.15020504183375608,162.2060046443406,0.0,1767.4902435090985,3802.667979900614,333.0887520758926,3999.5900000000047,98.30911815431075,4655.839241694814
random_3852,random,49269.79388620816,47307.61973491397,2350.3375248392363,3980.2835912453174,-3880.6292920961214,24.860770802931437,8999.590000000004,53.39891499579516,422.7104028510965,6.757742590712413,0.0,0.5075789971839503,5016.831168878701,1339.4011750654638,499.59000000000486,52.583121091550936,4876.63002622219,0.016099036155121666,11999.590000000004,0.011563842951764996,0.1749676203637285,1992.2473068696545,0.0,3005.882942575119,5187.426549027712,57.99546364103906,3999.5900000000047,47.641214895098706,1686.3568772044218
random_293,random,49773.409223911294,47298.04522887778,2625.9701283739173,3668.756632304926,-3987.412357731063,8.824833548134164,8999.590000000004,6.711583722057719,104.00451124163024,197.69493749594213,0.0,462.2849390453868,10985.752889803487,377.50666571113834,499.59000000000486,1026.4966299022137,3747.7409282752915,0.07696703615398011,11999.590000000004,0.026554750762989843,0.05778043383601668,529.2133395248685,0.0,2274.742164209428,3005.0021320090727,677.8433485378655,3999.5900000000047,275.421948944988,595.6470697190188
random_471,random,49493.15744104649,47289.524430068835,2277.1310825330147,4575.211550426635,-3962.451614027138,8.81012150503455,8999.590000000004,5.578779557876372,18.04209688625906,1526.5522016526907,0.0,1060.9162972857707,5008.432089845357,444.9597481590885,499.59000000000486,360.7527188945639,3889.8941469585834,0.07191017127031711,11999.590000000004,0.1357900764906642,0.04160322440915924,1146.7205402869179,0.0,702.6997496069404,3274.6679802342833,1904.2557398800307,3999.5900000000047,9.902574964709123,4632.363351856198
random_184,random,49640.87294948437,47247.68247221842,2391.4681027373595,3348.637498266371,-4393.227725572982,28.505760904526706,8999.590000000004,82.98888815744539,2610.61793809921,1360.500704129479,0.0,1299.6543257989524,2547.1197665363043,400.0023463133789,499.59000000000486,331.4130032593025,5611.637000908002,0.004929904547447985,11999.590000000004,0.04084374342306672,0.023597231038996847,581.0779275436134,0.0,578.9358956777426,7102.190198504259,361.5856419147006,3999.5900000000047,279.6416063180097,966.5725745404129
random_2656,random,49651.56253763907,47230.519798515605,2041.63774887973,4741.992336402015,-3534.9938492528395,37.654908276345644,8999.590000000004,70.54573366740381,169.8684349127833,353.49631879414727,0.0,1611.5049626983198,3410.022892494026,259.18951628838323,499.59000000000486,129.25703887133537,7844.824983137834,0.08114180296217606,11999.590000000004,0.037531656574936796,0.19822217998129396,785.6823596350094,0.0,511.69063842540675,3753.21042719359,2525.0622886131055,3999.5900000000047,945.0441656656046,1745.8309733262404
random_3007,random,49814.27065089879,47223.90885245355,1484.3934184453349,6908.616910232289,-1632.0943630378565,0.2051350435041916,8999.590000000004,4.420755903863296,2.5241898501460223,1566.9141589478536,0.0,3594.4682335112816,3181.694686330618,1760.8851404265718,499.59000000000486,1849.3582903598813,1824.7991409127446,0.021001134484393932,11999.590000000004,0.23489437689929446,0.01897366531188603,55.18580041879437,0.0,968.3723827278031,7289.453810691299,586.7316703120497,3999.5900000000047,350.983055069132,1279.6393312165392
random_702,random,49724.54725146531,47222.08574505063,1762.1382390517367,5207.126621136833,-3400.067819982661,13.053316045028126,8999.590000000004,7.568862395564638,169.26791741086592,28.911423117397316,0.0,1949.2122082975977,4235.770771416279,1413.824327836711,499.59000000000486,167.52549483543783,2993.6001411631305,0.005347038219458103,11999.590000000004,0.011135403528239975,0.04783711222104593,3921.5489283622874,0.0,597.9407167061083,4051.3899259788495,140.50560177430287,3999.5900000000047,244.07621439857627,4291.927082173186
random_1938,random,49513.2901562113,47202.229669154854,1551.2388901652548,5164.95436706984,-2692.140752252738,37.280469341228276,8999.590000000004,44.77931312285223,76.61452512934228,868.3508170306901,0.0,3878.99597179758,3174.818134895869,1056.1962264438796,499.59000000000486,710.084620839375,5601.182623236392,0.027613479115208544,11999.590000000004,0.03360441646045297,0.23119707719032084,543.9280767211185,0.0,253.69657759877367,6084.831526033484,273.8115597605414,3999.5900000000047,438.7245673901381,971.3427318972458
random_1493,random,49504.87632484261,47172.920772870704,2180.1450894651807,4328.503309910686,-3625.5279067978827,0.03999417347324643,8999.590000000004,2.800039180903506,15.074154438943046,231.39910784013742,0.0,2023.4024193513258,8020.799973196848,1852.2947449887154,499.59000000000486,544.1798032112297,5123.144781563394,0.06643344802243574,11999.590000000004,0.020536999990313727,0.090772187196393,976.7188690395442,0.0,1031.2305464436495,2995.0324541923146,20.387769549774923,3999.5900000000047,171.32701378045613,998.5069112566784
random_3099,random,49543.54818527923,47154.495969366566,3040.6377501882876,2665.4012667659736,-4644.900764136343,151.88799386453522,8999.590000000004,737.5357782524381,1316.0599542888472,302.03839270649473,0.0,230.40356971983175,4611.076889953515,878.0872813084131,499.59000000000486,504.12871769334765,3367.647165313959,0.027052206743811032,11999.590000000004,0.02828034778252992,0.11347825978895215,50.80577397105589,0.0,549.228323745117,4656.854727663012,218.67682118159212,3999.5900000000047,362.6550627445824,6107.9329220581585
